Geography,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Atlantic County, New Jersey",274549,274606,274651,274369,272656,270471,267813,266328,265429
"Bergen County, New Jersey",905116,912033,916408,920203,923757,926997,928979,933569,936692
"Burlington County, New Jersey",448734,450149,450517,448850,448224,446923,446108,445196,445384
"Camden County, New Jersey",513657,512726,511769,510128,508554,507784,507075,506343,507078
"Cape May County, New Jersey",97265,96490,96230,95506,94923,94180,93679,93184,92560
"Cumberland County, New Jersey",156898,157045,156941,156120,156086,154838,153355,151748,150972
"Essex County, New Jersey",783969,785531,785137,786817,788975,790508,792617,795908,799767
"Gloucester County, New Jersey",288288,289478,289627,289720,290530,290823,290647,290850,291408
"Hudson County, New Jersey",634266,645600,652416,657217,660502,664744,668928,672922,676061
"Hunterdon County, New Jersey",128349,127314,126596,126381,125847,125396,124668,124628,124714
"Mercer County, New Jersey",366513,367384,368604,369517,369017,368352,368028,368602,369811
"Middlesex County, New Jersey",809858,815082,819347,821844,824349,825867,825907,827684,829685
"Monmouth County, New Jersey",630380,629102,627663,626980,625647,624320,623286,622327,621354
"Morris County, New Jersey",492276,494809,495679,496114,494982,494432,494046,494225,494228
"Ocean County, New Jersey",576567,578849,579860,582022,584449,587137,590990,595470,601651
"Passaic County, New Jersey",501226,503282,503651,504006,504758,504588,503853,503694,503310
"Salem County, New Jersey",66083,65866,65410,64789,64328,63720,63189,62838,62607
"Somerset County, New Jersey",323444,326153,327341,329024,329342,329678,329996,330700,331164
"Sussex County, New Jersey",149265,148122,146943,145615,144578,142996,141932,141185,140799
"Union County, New Jersey",536499,540024,543129,546237,548282,550367,553343,555273,558067
"Warren County, New Jersey",108692,108138,107564,106903,106994,106748,106077,105869,105779